Segment start id, Segment end id
851415835, 65582314
851415835, 65582314
851415835, 65582314
851415835, 65582314
65582314, 851416669
65582314, 851416669
851416669, 135404806
851416669, 135404806
851416669, 135404806
135404806, 851417088
135404806, 851417088
135404806, 851417088
135404806, 851417088
851417088, 851417092
851417088, 851417092
851417088, 851417092
851417092, 851417095
851417092, 851417095
851417095, 851406319
851417095, 851406319
851417095, 851406319
851406319, 135404813
851406319, 135404813
851406319, 135404813
135404813, 851406142
135404813, 851406142
851406142, 135404822
851406142, 135404822
135404822, 851403129
851403129, 135404839
851403129, 135404839
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
135404839, 1426470097
1426470097, 65657742
65657742, 1430368000
1430368000, 65481632
65481632, 851403133
65481632, 851403133
65481632, 851403133
65481632, 851403133
65481632, 851403133
65481632, 851403133
65481632, 851403133
65481632, 851403133
851403133, 851404975
851403133, 851404975
851403133, 851404975
851403133, 851404975
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
851404975, 135404851
