time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,State
2014-11-19 11:05:39.413,14,14,37.43263,-122.1814,31.98471,8.57,78.69006,3,5,1416423938,-0.02346802,-0.506424,-0.8053284,6.685791,7.147671,-12.08208,346.4355,332.7451,25,-0.02619485,-0.08454551,-0.02343156,2.671562,0.01119355,0.5952339,-0.009655597,0.01449314,-0.03429814,0.002679372,0.03322132,-0.0006019712,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:40.414,15,15,37.43266,-122.1812,31.61111,7.91,84.80556,3,5,1416423940,0.116806,-0.5107422,-0.6865997,6.821991,5.471088,-12.38254,344.813,331.1226,25,0.3521988,0.202918,0.04196449,2.581065,0.05465987,0.6095862,0.3102082,0.1838577,-0.01435077,0.03549926,0.1145509,0.1193655,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:41.413,16,16,37.43266,-122.1812,31.61111,7.91,84.80556,3,5,1416423940,-0.0750885,-0.4761353,-0.7890472,5.868286,6.086975,-11.78166,345.369,331.6786,25,-0.2456692,-0.1524591,0.3294501,2.598951,-0.02246432,0.4984112,0.0001729929,-0.02648469,0.359381,0.005401723,-0.03110937,0.1036312,0.0.0.0,10.181.213.137,5,0
2014-11-19 11:05:42.414,17,17,37.43266,-122.1811,31.61954,7.85,84.80556,3,5,1416423941,-0.01187134,-0.6601715,-0.4794922,9.308228,-0.1061287,-12.54951,324.2427,310.5523,25,-0.09092618,-0.2336972,-0.1502289,2.540323,0.005143909,0.688339,0.1853616,-0.01916083,-0.1628024,-0.02086411,-0.008711403,0.3072346,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:43.414,18,18,37.43267,-122.1811,31.35156,7.52,90,3,5,1416423942,0.2173767,-0.566864,-0.8990631,4.386688,1.519157,-3.586136,356.9366,343.2462,26,0.6701059,0.5526257,0.1315532,2.367892,0.1496332,0.4579634,0.5583956,0.6356786,0.1535717,0.1000965,-0.1498119,-0.02226288,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:44.413,19,19,37.43267,-122.181,31.13248,7.65,90,3,5,1416423943,0.2591553,-0.502594,-0.8717194,6.787903,9.508606,-12.81657,357.6218,343.9314,26,-0.1755897,0.1152009,0.5123168,2.332702,0.2012627,0.4296534,-0.1354232,0.06351282,0.3091911,0.1602886,0.01677546,0.05076341,0.0.0.0,10.181.213.137,5,0
2014-11-19 11:05:45.413,20,20,37.43266,-122.1809,31.01923,8.36,93.65224,3,5,1416423944,0.2391968,-0.425293,-0.6914215,8.797302,4.136681,-8.74382,334.7704,321.0801,25,0.4153186,-0.6065871,-0.4072295,2.319977,0.1381499,0.6319294,0.4272364,-0.5065879,-0.5673887,0.1280794,0.1654097,0.1077802,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:46.413,21,21,37.43266,-122.1808,30.94785,9.31,96.78894,3,5,1416423945,0.08798218,-0.6628723,-0.8035278,3.296783,0.1163063,-7.091354,347.7944,334.104,25,-0.05366696,0.01954095,0.06091102,2.346362,0.1461695,0.6698487,0.01609565,0.1609125,0.003396963,-0.01168365,0.03370921,0.05077889,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:47.412,22,22,37.43264,-122.1807,31.15219,9.84,99.19667,3,5,1416423946,-0.179657,-0.5657349,-0.7805023,15.86472,-0.05478668,-11.59818,346.0667,332.3763,26,-0.002679939,-0.07887138,0.2384155,2.460647,0.04643217,0.6436597,0.01970888,-0.1828634,0.3286025,-0.216785,0.03439202,0.01854038,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:48.413,23,23,37.43263,-122.1806,30.80661,9.74,100.7073,3,5,1416423947,-0.2862244,-0.780304,-1.27272,7.196594,-1.201027,-0.4313965,348.2008,334.5104,26,-0.1742861,-0.1325951,-0.5518168,2.448404,0.04536477,0.622156,-0.4638512,-0.1792349,-0.02512775,-0.3076038,-0.2133693,-0.3495433,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:49.413,24,24,37.43261,-122.1805,30.96512,9.88,100.7073,3,5,1416423948,-0.1496429,-0.5680084,-0.7523193,7.724518,-1.218117,-11.99878,337.959,324.2687,25,-0.5357404,0.1271942,0.2103895,2.375112,0.1094253,0.642353,-0.4993797,0.05563312,0.3355482,-0.2262348,0.04675871,0.08345133,0.0.0.0,10.181.213.137,5,0
2014-11-19 11:05:50.413,25,25,37.43259,-122.1804,31.04584,9.09,100.7073,3,5,1416423949,0.2563629,-0.5197296,-0.7807922,9.495636,-8.985155,-8.126373,352.2923,338.6019,26,0.2679622,-0.8625409,0.06689062,2.302458,0.1336819,0.7200451,0.1960445,-0.7522565,-0.04936389,0.1561631,0.139689,-0.0357237,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:51.412,26,26,37.43257,-122.1802,31.23703,6.9,100.7073,3,5,1416423951,0.09907532,-0.5080566,-0.8640442,4.778442,-4.383097,-6.57402,352.0561,338.3657,26,-0.0794911,0.02250105,0.002498844,2.336684,0.1049627,0.670067,-0.1180105,-0.04884737,0.01602952,0.0007080352,0.1034909,-0.09651006,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:52.413,27,27,37.43256,-122.1801,31.43961,5.57,100.7073,3,5,1416423952,0.1564941,-0.5016632,-0.9235382,3.722565,-2.124847,-8.94429,350.3934,336.703,26,-0.4688527,-0.2570848,-0.1575718,2.334977,0.1585961,0.5264056,-0.4194061,-0.188343,-0.1723044,-0.005828959,-0.01708719,-0.03919199,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:53.413,28,28,37.43256,-122.1801,31.43961,5.57,100.7073,3,5,1416423952,0.2167206,-0.5244141,-0.7303925,4.284485,-1.868229,-7.792603,352.7046,339.0143,26,-0.1125827,-0.7815358,0.5001198,2.321251,0.07809542,0.5505787,-0.01693773,-0.6790501,0.4515539,0.1584733,0.01542905,0.1221159,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:54.414,29,29,37.43256,-122.1801,30.84595,1.36,100.7073,3,5,1416423954,0.1781006,-0.4490814,-0.8337708,3.586273,-1.372082,-7.308594,354.6288,340.9384,26,-0.1726993,-0.09880141,0.1568586,2.27246,0.1357821,0.5017813,-0.1269104,-0.06152824,0.1565161,0.06808916,0.03695726,0.044332,0.0.0.0,10.181.213.137,5,0
2014-11-19 11:05:55.413,30,30,37.43256,-122.1801,30.84595,1.36,100.7073,3,5,1416423954,0.1551819,-0.470108,-0.8218079,4.573944,-2.295925,-8.577148,354.5717,340.8813,26,-0.08543687,-0.0447712,-0.1084205,2.268208,0.1557947,0.4921515,-0.02332124,0.07878236,-0.1665363,0.008467956,-8.735565e-05,0.04323638,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:56.414,31,31,37.43256,-122.1801,30.93634,0.41,100.7073,3,5,1416423955,0.05905151,-0.7660675,-0.7201996,3.501099,-1.765575,-7.792587,352.2942,338.6038,26,0.1570573,-0.1016912,0.1661711,2.315649,0.1116382,0.6303026,0.05606566,-0.03647177,0.1544943,-0.0176882,-0.1641966,0.06951337,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:57.413,32,32,37.43256,-122.1801,30.79376,1.15,100.7073,3,5,1416423957,-0.01792908,-0.6969299,-0.720932,4.50589,-0.6535606,-9.211395,351.4148,337.7244,26,-0.02589471,-0.2329568,0.0602138,2.31964,0.08671806,0.693953,-0.02666607,-0.2108076,0.03686093,-0.0307053,-0.03891633,0.07018693,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:58.413,33,33,37.43255,-122.1801,30.66302,2.68,100.7073,3,5,1416423958,0.09812927,-0.5821381,-0.8474274,8.712128,-8.608782,-3.886765,18.02662,4.33625,26,-0.2804018,0.1892599,-0.01391555,1.653257,0.2556279,0.6526686,-0.4269751,0.1545076,-0.02758251,-0.04910387,0.03037386,-0.116116,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:59.413,34,34,37.43255,-122.1801,30.66302,2.68,100.7073,3,5,1416423958,0.01071167,-0.5543671,-0.8128815,13.00369,-15.75994,0.8536682,31.15654,17.46617,26,-0.4948002,0.4202295,-0.2227817,1.637465,0.1903438,0.6131283,-0.5507146,0.6093278,-0.278734,-0.1716567,0.0210617,0.02428755,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:06:00.413,35,35,37.43255,-122.18,30.05411,3.51,139.9219,3,5,1416423959,0.2138672,-0.362381,-0.7477875,18.70862,-20.05405,0.4029846,52.23891,38.54854,26,-0.9850258,-1.248351,-0.1570373,1.273515,0.2460168,0.5293844,-0.9410371,-1.020113,-0.2156311,0.003661135,0.1426212,0.08934229,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:06:01.415,36,36,37.43243,-122.18,30.26071,3.99,188.8204,3,5,1416423961,0.020401,-0.5782013,-0.6243286,19.96887,-20.19091,5.37706,55.89386,42.20349,26,0.06200878,-0.1749135,-0.04936515,0.9788944,0.1809886,0.6491182,0.2704434,0.04985613,-0.175041,-0.1427824,0.07880369,0.1598871,0.0.0.0,10.181.213.137,1,0
